mock1	mock2	mock3	hrcc1	hrcc2	hrcc3
AT1G01010	2.08587370829321	2.82142918332573	1.85163566201417	2.25461004717818	2.96012557980402	2.17754717125535
AT1G01020	2.07812963516907	2.08695617725775	1.43592661210836	1.98180732282844	2.26424170600224	1.77570244081501
AT1G01030	1.42716933026961	1.7775906304609	1.53018535996096	1.8298860938803	2.458891999627	1.22055028857004
AT1G01040	1.55935000646338	1.04551306022979	1.09833942246327	1.38347150940909	0.849808291568888	1.35091551662317
AT1G01050	2.54484461084307	2.9665188573703	2.77250388418868	2.75434735190257	2.74527936632964	2.30820663118048
AT1G01060	-1.38629436111989	0.630335893383529	-0.905009096550496	-1.38629436111989	1.2257613216114	-0.189506159652436
AT1G01070	1.37119453836241	2.0555886960532	0.182196327671799	0.755602544149683	1.85779104330088	-0.921646945576652
AT1G01080	3.91447445920527	3.99421331937612	4.34607759801477	3.52565439313987	3.6543548482316	3.55128933122964
AT1G01090	4.40580529797894	4.54217865373623	4.68874419358114	3.77723344660337	3.77797067801039	4.4038601568494
AT1G01100	3.93283677566173	3.9971044081578	4.3328957861832	3.46549996564874	2.80090313025473	4.64729766576514
AT1G01110	-1.38629436111989	-0.801307443893659	-0.937843586435754	-1.38629436111989	-1.38629436111989	-1.38629436111989
AT1G01120	4.1104496813304	3.88752768727999	3.90420602407338	3.57486375372863	3.39349041907141	3.3999099400385
AT1G01130	0.969622771230871	1.11947138350541	-0.839213073179015	-1.38629436111989	-0.0425593801498974	0.576809785446909
AT1G01140	3.28495604155453	2.84286581849699	2.67401212562351	3.07053182793493	2.67412695216714	2.55008595293786
AT1G01150	-1.38629436111989	-0.312071204419804	-1.38629436111989	-1.38629436111989	-1.38629436111989	-1.38629436111989
AT1G01160	3.52371978617349	3.55329118298009	3.75439162064412	3.12000030996524	2.88605573815782	3.67258540860042
AT1G01170	3.8421957001347	3.54668490801219	3.57027230079113	3.02884625530743	2.92650457914725	2.47675794714362
AT1G01180	2.9974031530033	1.14837054546219	2.07008906001952	2.26106942912083	2.35969244026577	2.78763844732566
AT1G01190	-1.38629436111989	0.0525182600968053	-0.459648500872032	-0.690048896101729	-0.00783717187738987	-0.500324017933588
AT1G01200	0.552981681743221	-1.38629436111989	-0.417523848337333	-1.38629436111989	-1.38629436111989	-1.38629436111989
AT1G01210	4.66733323787136	4.7621905673018	3.69811344748507	4.70887004456541	4.19503390071884	4.00608379566338
AT1G01220	1.20155901115731	1.76453357812332	1.25208139977346	0.915663784471119	0.96289049146546	1.03968973699924
AT1G01225	0.515034491763048	1.30350455657794	0.539928114132213	0.780748388593272	-1.38629436111989	-0.067654968949214
AT1G01230	3.02775064570202	2.65216001669774	2.44500405629415	2.90163448045569	1.95454652573102	2.65590480357015
AT1G01240	3.06134404315219	3.11852120468329	2.11610674844237	2.69961099136905	2.15189130229284	1.75145656035178
AT1G01250	-0.160045680218092	-0.18559467520504	0.840052487033304	-0.229377508954072	0.619546832622023	0.0218176124481861
AT1G01260	1.13069001105659	2.27930775436545	1.62369709301292	1.77854603893311	1.95942275690025	1.92028764138559
AT1G01290	0.784842045968807	1.5108383024007	1.53257722130158	2.05208671745536	0.743093909150612	1.28912349342894
AT1G01300	3.04781288402205	3.43505679105528	3.79450149258497	3.11854761155246	3.70512532843627	3.69176573676635
AT1G01310	-1.38629436111989	0.558233161568585	-1.38629436111989	-1.38629436111989	0.843241453994756	-1.38629436111989
AT1G01320	3.18331290850239	3.41787373972275	3.95353485453329	3.15699214739531	3.04044365496606	3.50207998880347
AT1G01340	1.45664233350948	0.202378748385619	1.4382055411998	1.70042954678025	1.4580916960401	2.16001204016763
AT1G01350	2.04010460481159	1.70696831767257	2.02437661454648	2.24663609257058	1.27043129126014	1.64479717775109
AT1G01355	-1.38629436111989	-1.38629436111989	-1.38629436111989	-1.38629436111989	0.424718029235455	-1.38629436111989
AT1G01360	1.73526546466447	1.11988427296249	1.37894279881584	1.18462117962554	1.42252658037862	1.16019792512027
AT1G01370	-1.38629436111989	-1.38629436111989	-0.549281454184504	-0.763885552033326	-0.120061746565152	-1.38629436111989
AT1G01380	-1.38629436111989	1.51984219235018	0.697051139921017	-1.38629436111989	1.83010190241537	-0.414817394768383
AT1G01390	0.973965506268749	1.45801185459264	1.07339296924951	0.76532079105611	0.61594927817175	0.683056969529909
AT1G01420	2.41863251942803	2.495017903249	2.80132783559127	1.92809486154625	1.7195604023913	2.30889070602103
AT1G01430	3.46190187637027	3.37317371409671	3.35680511458457	2.84952458600783	2.47662553382587	2.69184300193881
AT1G01440	1.88389517238607	1.82028770251655	1.93070998185491	1.73025804931146	1.94042392894948	1.9013167708606
AT1G01448	1.07817217933902	1.10399197895132	1.75578408384079	0.71059631002096	-0.0322631695129545	1.55454101399562
AT1G01450	-1.38629436111989	-1.38629436111989	-0.701790116284483	-1.38629436111989	-1.38629436111989	-1.38629436111989
AT1G01453	-1.38629436111989	-1.38629436111989	-0.218528860639916	-1.38629436111989	-1.38629436111989	0.0254254281814362
AT1G01470	6.03056457109486	5.83360550102088	5.5185711419804	5.71371716143265	6.21095313342351	5.43112443526771
AT1G01480	0.779852086538456	2.40250397878945	0.805749651968512	2.23431149215627	3.22940691466312	2.41103327374812
AT1G01490	4.25103394973726	3.94696327229674	3.04833443314979	3.87581479369655	3.58560996068387	3.29720753784808
AT1G01500	2.70367400815152	2.41076838003922	3.08036765676591	2.71311944660763	2.10037302131253	3.38097318487729
AT1G01510	1.68707377857794	1.47311990850375	1.58625940501038	1.48896566846582	1.13068240124556	2.02048133086805
AT1G01520	-1.38629436111989	-1.38629436111989	-1.38629436111989	-1.38629436111989	0.117663336381537	-0.776494872087423
AT1G01540	2.30255971540469	2.57849724123014	2.29557352328669	2.28884229585845	1.91099943130883	2.32085957145819
AT1G01550	4.32428760061709	3.79605673730918	4.78597533612452	4.71347594908545	4.29397717886434	5.08573796749513
AT1G01560	1.36821016057946	1.27405270444687	2.2068510416177	2.12417199542571	2.89347226829394	2.5817734656205
AT1G01570	0.314048362783207	-0.763994587308996	-0.145649880119295	-0.153465071787419	-1.38629436111989	-1.38629436111989
AT1G01580	0.404214489994651	-0.957816632706858	-1.38629436111989	-1.38629436111989	0.30833239524232	-1.38629436111989
AT1G01590	-1.38629436111989	2.57206903525314	-0.354596336752655	-0.16800505755048	2.35799809247754	-0.568715428467924
AT1G01600	-0.0924317784982032	1.17178464174063	-0.350674520242511	0.613720767031764	2.06790265715493	-0.20375875774125
AT1G01610	3.86245997267486	4.17206009097063	4.15967479793528	3.43404975119354	3.22791129903904	3.69238832206567
AT1G01620	5.1048863036176	4.85190715170827	4.64335525994568	3.93961509940762	3.87287138828219	4.08498530118064
AT1G01630	2.92150208645023	2.73144170765241	3.19818813986452	3.05204119659985	2.71738129852155	2.89717213026957
AT1G01640	0.224359580826875	0.780028712402418	1.01910246330514	0.981161002101809	1.07323835305497	1.03617943702963
AT1G01650	2.90900546592957	2.46921816256554	2.59255846027206	2.89057540223005	2.60630814146405	2.97554478616905
AT1G01660	0.709839524209709	1.45004555023211	0.291405721838469	-0.496271894612812	0.268968939626022	0.419122954694697
AT1G01670	0.619314635971605	0.289068889802259	0.0222212455286066	0.761662438718968	-0.766397548845026	0.247421372197503
AT1G01680	2.30963414247475	1.17575007001728	2.48142910375918	2.23791049758717	1.62563657648128	1.74360470316868
AT1G01690	-1.38629436111989	0.699007571528971	0.258559689755547	-0.0628561144475139	-0.15090404958665	-1.05667093923883
AT1G01695	-0.550758007178188	-0.128159789763255	-1.38629436111989	-1.38629436111989	-1.38629436111989	-1.38629436111989
AT1G01700	-1.38629436111989	-1.38629436111989	-0.509698182216941	-0.731422115318407	-1.38629436111989	-0.0997330799542332
AT1G01710	1.49161656478374	1.58646116941974	1.84989978368572	1.32677584116591	1.78968862339332	1.87891376723921
AT1G01720	4.28429080094077	4.26660567176097	3.28012165271144	4.38758594074644	4.16143166479838	3.77408774233076
AT1G01725	1.68453046245743	2.03922388583776	1.9392433002682	2.15464476706076	1.30342633895829	2.01487727197777
AT1G01730	3.14047058113098	2.95551946821821	2.66551596619125	3.57932459473556	3.48478063607091	3.46304868646893
AT1G01740	0.394796639121496	0.710515415596083	0.507922049998458	0.166289241601448	-0.223986680741646	-0.251706230070612
AT1G01750	-0.241811310576821	-1.38629436111989	-1.38629436111989	0.19798104016551	-1.38629436111989	-0.0658479581714282
AT1G01760	-1.38629436111989	-1.38629436111989	0.519568067000005	-0.401306824287248	-1.38629436111989	-0.169410472417672
AT1G01770	0.580699954385697	1.47135506438353	1.44158681609143	0.957413722949135	1.31482441725023	1.29793027542592
AT1G01780	1.90525284609018	3.15990020155455	2.2859644456173	1.80954673223108	2.86407693826301	1.74204237280195
